OOut_l_0.01_g_0.995_p_MlpPolicy
Step,Point,Load_Mult,Reg Changed,Tap Changed,Reward,Regulator States,Time,creg1a,creg2a,creg3a,creg3c,creg4a,creg4b,creg4c,
27,1,0.3599999999999999,creg3a,7,-813.350511627646,,10.8,2,-10,7,-1,13,1,-12,
28,1,0.3599999999999999,creg4c,3,-461.5309859911355,,11.2,2,-10,7,-1,13,1,3,
29,1,0.3599999999999999,creg3a,-16,-505.4473523157749,,11.6,2,-10,-16,-1,13,1,3,
30,1,0.3599999999999999,creg3a,8,-506.0341951449359,,12.0,2,-10,8,-1,13,1,3,
31,1,0.3599999999999999,creg3c,1,-495.0339782197789,,12.4,2,-10,8,1,13,1,3,
32,1,0.3599999999999999,creg4b,-9,-498.42846654161906,,12.8,2,-10,8,1,13,-9,3,
33,1,0.3599999999999999,creg2a,-10,-493.42846654161906,,13.2,2,-10,8,1,13,-9,3,
34,1,0.3599999999999999,creg4c,-4,-496.58699446612417,,13.6,2,-10,8,1,13,-9,-4,
35,1,0.3599999999999999,creg1a,8,-766.8230265161511,,14.0,8,-10,8,1,13,-9,-4,
36,1,0.3599999999999999,creg4c,-12,-827.5137569816033,,14.4,8,-10,8,1,13,-9,-12,
37,1,0.3599999999999999,creg4a,-1,-348.60029526372443,,14.8,8,-10,8,1,-1,-9,-12,
38,1,0.3599999999999999,creg4c,-11,-341.63941972313563,,15.2,8,-10,8,1,-1,-9,-11,
39,1,0.3599999999999999,creg3a,10,-342.6509842265914,,15.6,8,-10,10,1,-1,-9,-11,
40,1,0.3599999999999999,creg4c,-5,-344.92586673172224,,16.0,8,-10,10,1,-1,-9,-5,
41,1,0.3599999999999999,creg2a,-7,-343.4380358847727,,16.4,8,-7,10,1,-1,-9,-5,
42,1,0.3599999999999999,creg3c,-15,-399.9365898117371,,16.8,8,-7,10,-15,-1,-9,-5,
43,1,0.3599999999999999,creg1a,14,-2305.9333324817667,,17.2,14,-7,10,-15,-1,-9,-5,
44,1,0.3599999999999999,creg4c,-13,-2016.525159645786,,17.6,14,-7,10,-15,-1,-9,-13,
45,1,0.3599999999999999,creg4a,8,-2018.397117793181,,18.0,14,-7,10,-15,8,-9,-13,
46,1,0.3599999999999999,creg3a,8,-2014.8848340635716,,18.4,14,-7,8,-15,8,-9,-13,
47,1,0.3599999999999999,creg2a,-1,-2056.9149054841546,,18.8,14,-1,8,-15,8,-9,-13,
48,1,0.3599999999999999,creg1a,-4,-750.3170526165136,,19.2,-4,-1,8,-15,8,-9,-13,
49,1,0.3599999999999999,creg4b,4,-438.791264340767,,19.6,-4,-1,8,-15,8,4,-13,
50,1,0.3599999999999999,creg3a,-15,-483.6883176372398,,20.0,-4,-1,-15,-15,8,4,-13,
51,1,0.3599999999999999,creg4b,13,-787.5289240526962,,20.4,-4,-1,-15,-15,8,13,-13,
52,1,0.3599999999999999,creg3a,-11,-785.0516940684706,,20.8,-4,-1,-11,-15,8,13,-13,
53,1,0.3599999999999999,creg4c,-12,-783.1049593254565,,21.2,-4,-1,-11,-15,8,13,-12,
54,1,0.3599999999999999,creg2a,9,-788.1510124812522,,21.6,-4,9,-11,-15,8,13,-12,
55,1,0.3599999999999999,creg1a,11,-2333.075961097734,,22.0,11,9,-11,-15,8,13,-12,
56,1,0.3599999999999999,creg4b,-15,-2026.874660239608,,22.4,11,9,-11,-15,8,-15,-12,
57,1,0.3599999999999999,creg4a,3,-2014.6367853461427,,22.8,11,9,-11,-15,3,-15,-12,
58,1,0.3599999999999999,creg3c,-2,-2018.6352968077047,,23.2,11,9,-11,-2,3,-15,-12,
59,1,0.3599999999999999,creg4c,10,-2385.0027304174864,,23.6,11,9,-11,-2,3,-15,10,
60,1,0.3599999999999999,creg2a,-1,-2378.9535679102887,,24.0,11,-1,-11,-2,3,-15,10,
61,1,0.3599999999999999,creg1a,-5,-429.8765061026384,,24.4,-5,-1,-11,-2,3,-15,10,
62,1,0.3599999999999999,creg4c,10,-421.8765061026384,,24.8,-5,-1,-11,-2,3,-15,10,
63,1,0.3599999999999999,creg4a,13,-457.57108040555903,,25.2,-5,-1,-11,-2,13,-15,10,
64,1,0.3599999999999999,creg4b,7,-124.99777290620395,,25.6,-5,-1,-11,-2,13,7,10,
65,1,0.3599999999999999,creg4c,-12,-483.8184301363507,,26.0,-5,-1,-11,-2,13,7,-12,
66,1,0.3599999999999999,creg4c,13,-166.67707220065319,,26.4,-5,-1,-11,-2,13,7,13,
67,1,0.3599999999999999,creg4b,-15,-493.76103720902995,,26.8,-5,-1,-11,-2,13,-15,13,
68,1,0.3599999999999999,creg4a,-10,-982.4263712479005,,27.2,-5,-1,-11,-2,-10,-15,13,
69,1,0.3599999999999999,creg2a,-6,-1013.4047543809754,,27.6,-5,-6,-11,-2,-10,-15,13,
70,1,0.3599999999999999,creg2a,10,-978.968526449691,,28.0,-5,10,-11,-2,-10,-15,13,
71,1,0.3599999999999999,creg4a,6,-480.30913559004523,,28.4,-5,10,-11,-2,6,-15,13,
72,1,0.3599999999999999,creg3c,2,-424.3093518461659,,28.8,-5,10,-11,2,6,-15,13,
73,1,0.3599999999999999,creg3c,-1,-423.80968440546974,,29.2,-5,10,-11,-1,6,-15,13,
74,1,0.3599999999999999,creg4a,2,-474.06703545413336,,29.6,-5,10,-11,-1,2,-15,13,
75,1,0.3599999999999999,creg4b,8,-225.19304516058287,,30.0,-5,10,-11,-1,2,8,13,
76,1,0.3599999999999999,creg3c,-16,-271.146275522334,,30.4,-5,10,-11,-16,2,8,13,
77,1,0.3599999999999999,creg4a,-10,-678.5838816362063,,30.8,-5,10,-11,-16,-10,8,13,
78,1,0.3599999999999999,creg2a,15,-685.1054872868367,,31.2,-5,15,-11,-16,-10,8,13,
79,1,0.3599999999999999,creg3a,14,-655.2015582015582,,31.6,-5,15,14,-16,-10,8,13,
80,1,0.3599999999999999,creg4a,-9,-642.7990221236078,,32.0,-5,15,14,-16,-9,8,13,
81,1,0.3599999999999999,creg2a,-2,-681.2269588974012,,32.4,-5,-2,14,-16,-9,8,13,
82,1,0.3599999999999999,creg4b,-6,-988.7656106425392,,32.8,-5,-2,14,-16,-9,-6,13,
83,1,0.3599999999999999,creg4c,-2,-818.3242747356348,,33.2,-5,-2,14,-16,-9,-6,-2,
84,1,0.3599999999999999,creg4b,-15,-824.6138550164657,,33.6,-5,-2,14,-16,-9,-15,-2,
85,1,0.3599999999999999,creg4a,-15,-812.4757416784944,,34.0,-5,-2,14,-16,-15,-15,-2,
86,1,0.3599999999999999,creg4c,-13,-1174.0950846579533,,34.4,-5,-2,14,-16,-15,-15,-13,
87,1,0.3599999999999999,creg3a,16,-1209.60102353374,,34.8,-5,-2,16,-16,-15,-15,-13,
88,1,0.3599999999999999,creg3c,-14,-1209.6076181410779,,35.2,-5,-2,16,-14,-15,-15,-13,
89,1,0.3599999999999999,creg4c,3,-857.7797782432089,,35.6,-5,-2,16,-14,-15,-15,3,
90,1,0.3599999999999999,creg1a,2,-814.1212926675812,,36.0,2,-2,16,-14,-15,-15,3,
91,1,0.3599999999999999,creg4a,-14,-810.7237082888131,,36.4,2,-2,16,-14,-14,-15,3,
92,1,0.3599999999999999,creg3a,-14,-825.6071569924895,,36.8,2,-2,-14,-14,-14,-15,3,
93,1,0.3599999999999999,creg4c,-5,-814.1255791481904,,37.2,2,-2,-14,-14,-14,-15,-5,
94,1,0.3599999999999999,creg1a,3,-810.2417313684181,,37.6,3,-2,-14,-14,-14,-15,-5,
95,1,0.3599999999999999,creg3a,-16,-811.2312369991197,,38.0,3,-2,-16,-14,-14,-15,-5,
96,1,0.3599999999999999,creg4b,4,-681.1141421423731,,38.4,3,-2,-16,-14,-14,4,-5,
97,1,0.3599999999999999,creg3a,7,-643.1984894616901,,38.8,3,-2,7,-14,-14,4,-5,
98,1,0.3599999999999999,creg4c,7,-898.4725798205909,,39.2,3,-2,7,-14,-14,4,7,
99,1,0.3599999999999999,creg4b,-7,-827.2258753530272,,39.6,3,-2,7,-14,-14,-7,7,
100,1,0.3599999999999999,creg3c,5,-781.2383032953892,,40.0,3,-2,7,5,-14,-7,7,
101,1,0.3599999999999999,creg4b,0,-771.7383032953892,,40.4,3,-2,7,5,-14,-7,7,
102,1,0.3599999999999999,creg2a,3,-774.2585782968866,,40.8,3,3,7,5,-14,-7,7,
103,1,0.3599999999999999,creg2a,-12,-819.1975498914526,,41.2,3,-12,7,5,-14,-7,7,
104,1,0.3599999999999999,creg3c,8,-863.203469813158,,41.6,3,-12,7,8,-14,-7,7,
105,1,0.3599999999999999,creg4a,-9,-574.7022055386927,,42.0,3,-12,7,8,-9,-7,7,
106,1,0.3599999999999999,creg1a,5,-513.3574481897181,,42.4,5,-12,7,8,-9,-7,7,
107,1,0.3599999999999999,creg1a,4,-512.280926841467,,42.8,4,-12,7,8,-9,-7,7,
108,1,0.3599999999999999,creg4c,0,-512.280926841467,,43.2,4,-12,7,8,-9,-7,7,
109,1,0.3599999999999999,creg4c,14,-516.5523242759759,,43.6,4,-12,7,8,-9,-7,14,
110,1,0.3599999999999999,creg3a,14,-516.5910501343259,,44.0,4,-12,14,8,-9,-7,14,
111,1,0.3599999999999999,creg4a,3,-519.7185169565498,,44.4,4,-12,14,8,3,-7,14,
112,1,0.3599999999999999,creg3c,10,-514.7249776532984,,44.8,4,-12,14,10,3,-7,14,
113,1,0.3599999999999999,creg4b,-15,-827.2689412690177,,45.2,4,-12,14,10,3,-15,14,
114,1,0.3599999999999999,creg3a,10,-825.2474727435928,,45.6,4,-12,10,10,3,-15,14,
115,1,0.3599999999999999,creg4a,10,-1217.5514022737677,,46.0,4,-12,10,10,10,-15,14,
116,1,0.3599999999999999,creg4c,16,-1215.2990605670443,,46.4,4,-12,10,10,10,-15,16,
117,1,0.3599999999999999,creg4a,12,-1215.571751303083,,46.8,4,-12,10,10,12,-15,16,
118,1,0.3599999999999999,creg4c,-4,-862.8172528468543,,47.2,4,-12,10,10,12,-15,-4,
119,1,0.3599999999999999,creg2a,15,-866.4398345214089,,47.6,4,15,10,10,12,-15,-4,
120,1,0.3599999999999999,creg2a,0,-852.9398345214089,,48.0,4,15,10,10,12,-15,-4,
121,1,0.3599999999999999,creg2a,-15,-867.8033267656415,,48.4,4,-15,10,10,12,-15,-4,
122,1,0.3599999999999999,creg1a,2,-853.544490386666,,48.8,2,-15,10,10,12,-15,-4,
123,1,0.3599999999999999,creg4a,-11,-862.0678199724127,,49.2,2,-15,10,10,-11,-15,-4,
124,1,0.3599999999999999,creg4a,10,-862.7577838286151,,49.6,2,-15,10,10,10,-15,-4,
125,1,0.3599999999999999,creg3c,7,-803.7488369645502,,50.0,2,-15,10,7,10,-15,-4,
126,1,0.3599999999999999,creg3c,-10,-860.7446352171335,,50.4,2,-15,10,-10,10,-15,-4,
127,1,0.3599999999999999,creg4a,16,-856.1365377239497,,50.8,2,-15,10,-10,16,-15,-4,
128,1,0.3599999999999999,creg2a,-14,-853.141126502668,,51.2,2,-14,10,-10,16,-15,-4,
129,1,0.3599999999999999,creg4a,-1,-469.7720214959106,,51.6,2,-14,10,-10,-1,-15,-4,
130,1,0.3599999999999999,creg4c,-14,-825.6698729117979,,52.0,2,-14,10,-10,-1,-15,-14,
131,1,0.3599999999999999,creg3c,-7,-772.1753453082956,,52.4,2,-14,10,-7,-1,-15,-14,
132,1,0.3599999999999999,creg3c,5,-776.6740259407904,,52.8,2,-14,10,5,-1,-15,-14,
133,1,0.3599999999999999,creg4c,11,-784.8834656378709,,53.2,2,-14,10,5,-1,-15,11,
134,1,0.3599999999999999,creg4c,-7,-420.13749291197223,,53.6,2,-14,10,5,-1,-15,-7,
135,1,0.3599999999999999,creg3a,7,-372.6234568958213,,54.0,2,-14,7,5,-1,-15,-7,
136,1,0.3599999999999999,creg4a,2,-372.8168613365787,,54.4,2,-14,7,5,2,-15,-7,
137,1,0.3599999999999999,creg4b,11,-386.3957400470176,,54.8,2,-14,7,5,2,11,-7,
138,1,0.3599999999999999,creg3a,-13,-423.32373285827106,,55.2,2,-14,-13,5,2,11,-7,
139,1,0.3599999999999999,creg3a,-1,-379.37300197195435,,55.6,2,-14,-1,5,2,11,-7,
140,1,0.3599999999999999,creg4b,-11,-362.596013390958,,56.0,2,-14,-1,5,2,-11,-7,
141,1,0.3599999999999999,creg3a,-6,-354.0827532419264,,56.4,2,-14,-6,5,2,-11,-7,
142,1,0.3599999999999999,creg3a,15,-402.1596881943235,,56.8,2,-14,15,5,2,-11,-7,
143,1,0.3599999999999999,creg3a,-10,-404.0667524317474,,57.2,2,-14,-10,5,2,-11,-7,
144,1,0.3599999999999999,creg4b,16,-427.45959429569234,,57.6,2,-14,-10,5,2,16,-7,
145,1,0.3599999999999999,creg2a,-1,-380.5214964990705,,58.0,2,-1,-10,5,2,16,-7,
146,1,0.3599999999999999,creg2a,1,-375.0306440426398,,58.4,2,1,-10,5,2,16,-7,
147,1,0.3599999999999999,creg3a,15,-386.6317104190678,,58.8,2,1,15,5,2,16,-7,
148,1,0.3599999999999999,creg1a,10,-2159.160953663958,,59.2,10,1,15,5,2,16,-7,
149,1,0.3599999999999999,creg4b,-10,-1985.4101241117432,,59.6,10,1,15,5,2,-10,-7,
150,1,0.3599999999999999,creg3c,8,-1973.9200398265707,,60.0,10,1,15,8,2,-10,-7,
151,1,0.3599999999999999,creg2a,13,-1968.4845726032684,,60.4,10,13,15,8,2,-10,-7,
152,1,0.3599999999999999,creg3c,-5,-1918.957133420376,,60.8,10,13,15,-5,2,-10,-7,
153,1,0.3599999999999999,creg4a,11,-1938.2912869887784,,61.2,10,13,15,-5,11,-10,-7,
154,1,0.3599999999999999,creg3c,5,-1988.8091155974837,,61.6,10,13,15,5,11,-10,-7,
155,1,0.3599999999999999,creg4c,-14,-1987.0478833720458,,62.0,10,13,15,5,11,-10,-14,
156,1,0.3599999999999999,creg2a,13,-1983.5478833720458,,62.4,10,13,15,5,11,-10,-14,
157,1,0.3599999999999999,creg1a,-14,-2311.832633894227,,62.8,-14,13,15,5,11,-10,-14,
158,1,0.3599999999999999,creg3c,6,-2299.8361961288188,,63.2,-14,13,15,6,11,-10,-14,
159,1,0.3599999999999999,creg4b,4,-2307.995073814349,,63.6,-14,13,15,6,11,4,-14,
160,1,0.3599999999999999,creg4c,-2,-2307.713315357895,,64.0,-14,13,15,6,11,4,-2,
161,1,0.3599999999999999,creg2a,-3,-2349.638348363331,,64.4,-14,-3,15,6,11,4,-2,
162,1,0.3599999999999999,creg4b,9,-2034.5206248145764,,64.8,-14,-3,15,6,11,9,-2,
163,1,0.3599999999999999,creg3c,2,-2034.0068594026943,,65.2,-14,-3,15,2,11,9,-2,
164,1,0.3599999999999999,creg4b,-5,-2347.873963423103,,65.6,-14,-3,15,2,11,-5,-2,
165,1,0.3599999999999999,creg2a,14,-2309.4514169118556,,66.0,-14,14,15,2,11,-5,-2,
166,1,0.3599999999999999,creg4c,-5,-2302.243135175238,,66.4,-14,14,15,2,11,-5,-5,
167,1,0.3599999999999999,creg3c,3,-2300.74665406305,,66.8,-14,14,15,3,11,-5,-5,
168,1,0.3599999999999999,creg4a,-4,-2696.577461957982,,67.2,-14,14,15,3,-4,-5,-5,
169,1,0.3599999999999999,creg4a,-3,-2689.1872553168473,,67.6,-14,14,15,3,-3,-5,-5,
170,1,0.3599999999999999,creg3a,-7,-2740.090595822997,,68.0,-14,14,-7,3,-3,-5,-5,
171,1,0.3599999999999999,creg1a,10,-1534.3006255710427,,68.4,10,14,-7,3,-3,-5,-5,
172,1,0.3599999999999999,creg2a,0,-1522.3006255710427,,68.8,10,14,-7,3,-3,-5,-5,
173,1,0.3599999999999999,creg1a,14,-2695.0434914238017,,69.2,14,14,-7,3,-3,-5,-5,
174,1,0.3599999999999999,creg4b,-11,-2385.5892792112,,69.6,14,14,-7,3,-3,-11,-5,
175,1,0.3599999999999999,creg2a,-13,-2355.95557336267,,70.0,14,-13,-7,3,-3,-11,-5,
176,1,0.3599999999999999,creg3c,1,-2343.4490790903437,,70.4,14,-13,-7,1,-3,-11,-5,
177,1,0.3599999999999999,creg3c,-5,-2295.4320845341845,,70.8,14,-13,-7,-5,-3,-11,-5,
178,1,0.3599999999999999,creg1a,7,-25.059244841999107,,71.2,7,-13,-7,-5,-3,-11,-5,
179,1,0.3599999999999999,creg4a,-1,-22.682680570149873,,71.6,7,-13,-7,-5,-1,-11,-5,
180,1,0.3599999999999999,creg4a,-15,-417.8309541054021,,72.0,7,-13,-7,-5,-15,-11,-5,
181,1,0.3599999999999999,creg4c,-4,-410.88978988954705,,72.4,7,-13,-7,-5,-15,-11,-4,
182,1,0.3599999999999999,creg1a,-5,-1215.5466291903688,,72.8,-5,-13,-7,-5,-15,-11,-4,
183,1,0.3599999999999999,creg4a,-14,-1209.6467055564128,,73.2,-5,-13,-7,-5,-14,-11,-4,
184,1,0.3599999999999999,creg2a,-16,-1211.1339464956461,,73.6,-5,-16,-7,-5,-14,-11,-4,
185,1,0.3599999999999999,creg3a,11,-1178.696762709294,,74.0,-5,-16,11,-5,-14,-11,-4,
186,1,0.3599999999999999,creg3a,14,-1171.2045334303946,,74.4,-5,-16,14,-5,-14,-11,-4,
187,1,0.3599999999999999,creg2a,16,-1185.8414562891085,,74.8,-5,16,14,-5,-14,-11,-4,
188,1,0.3599999999999999,creg2a,16,-1169.8414562891085,,75.2,-5,16,14,-5,-14,-11,-4,
189,1,0.3599999999999999,creg3a,14,-1169.8414562891085,,75.6,-5,16,14,-5,-14,-11,-4,
190,1,0.3599999999999999,creg3a,5,-1174.3178294056877,,76.0,-5,16,5,-5,-14,-11,-4,
191,1,0.3599999999999999,creg2a,-4,-1179.7344704618044,,76.4,-5,-4,5,-5,-14,-11,-4,
192,1,0.3599999999999999,creg3a,10,-1172.247466915287,,76.8,-5,-4,10,-5,-14,-11,-4,
193,1,0.3599999999999999,creg1a,-1,-722.2543758529778,,77.2,-1,-4,10,-5,-14,-11,-4,
194,1,0.3599999999999999,creg4c,-6,-721.1498493004283,,77.6,-1,-4,10,-5,-14,-11,-6,
195,1,0.3599999999999999,creg1a,6,-454.3930613850743,,78.0,6,-4,10,-5,-14,-11,-6,
196,1,0.3599999999999999,creg3a,14,-452.91612899055923,,78.4,6,-4,14,-5,-14,-11,-6,
197,1,0.3599999999999999,creg4a,0,-450.91612899055923,,78.8,6,-4,14,-5,-14,-11,-6,
198,1,0.3599999999999999,creg2a,-1,-452.42862811766673,,79.2,6,-1,14,-5,-14,-11,-6,
199,1,0.3599999999999999,creg3c,-13,-504.92737190555806,,79.6,6,-1,14,-13,-14,-11,-6,
200,1,0.3599999999999999,creg3a,7,-504.38737208067306,,80.0,6,-1,7,-13,-14,-11,-6,
201,1,0.3599999999999999,creg4b,-10,-500.9462440676156,,80.4,6,-1,7,-13,-14,-10,-6,
202,1,0.3599999999999999,creg4a,14,-517.6032895930596,,80.8,6,-1,7,-13,14,-10,-6,
203,1,0.3599999999999999,creg4a,-10,-123.26046961605255,,81.2,6,-1,7,-13,-10,-10,-6,
204,1,0.3599999999999999,creg4a,-3,-115.12227727635191,,81.6,6,-1,7,-13,-3,-10,-6,
205,1,0.3599999999999999,creg2a,12,-158.18769752367774,,82.0,6,12,7,-13,-3,-10,-6,
206,1,0.3599999999999999,creg4c,-8,-152.5935982413301,,82.4,6,12,7,-13,-3,-10,-8,
207,1,0.3599999999999999,creg4a,9,-548.8232115883037,,82.8,6,12,7,-13,9,-10,-8,
208,1,0.3599999999999999,creg1a,-16,-2740.453258220075,,83.2,-16,12,7,-13,9,-10,-8,
209,1,0.3599999999999999,creg1a,8,-795.0577495601814,,83.6,8,12,7,-13,9,-10,-8,
210,1,0.3599999999999999,creg1a,-4,-747.7189114137707,,84.0,-4,12,7,-13,9,-10,-8,
211,1,0.3599999999999999,creg3c,-11,-742.7261469015782,,84.4,-4,12,7,-11,9,-10,-8,
212,1,0.3599999999999999,creg4c,1,-386.78037846973973,,84.8,-4,12,7,-11,9,-10,1,
213,1,0.3599999999999999,creg4c,-13,-748.377359037604,,85.2,-4,12,7,-11,9,-10,-13,
214,1,0.3599999999999999,creg4b,-2,-435.97656138923116,,85.6,-4,12,7,-11,9,-2,-13,
215,1,0.3599999999999999,creg1a,-16,-2735.7634607516065,,86.0,-16,12,7,-11,9,-2,-13,
216,1,0.3599999999999999,creg3a,-4,-2735.205303778793,,86.4,-16,12,-4,-11,9,-2,-13,
217,1,0.3599999999999999,creg3a,6,-2734.7579793039126,,86.8,-16,12,6,-11,9,-2,-13,
218,1,0.3599999999999999,creg3a,-12,-2738.665920663326,,87.2,-16,12,-12,-11,9,-2,-13,
219,1,0.3599999999999999,creg1a,5,-863.4675330769853,,87.6,5,12,-12,-11,9,-2,-13,
220,1,0.3599999999999999,creg4a,4,-634.7754387787618,,88.0,5,12,-12,-11,4,-2,-13,
221,1,0.3599999999999999,creg1a,15,-2329.1389360040876,,88.4,15,12,-12,-11,4,-2,-13,
222,1,0.3599999999999999,creg1a,-10,-2573.2029582239593,,88.8,-10,12,-12,-11,4,-2,-13,
223,1,0.3599999999999999,creg4b,-14,-2445.747579762524,,89.2,-10,12,-12,-11,4,-14,-13,
224,1,0.3599999999999999,creg3a,3,-2447.3280554598246,,89.6,-10,12,3,-11,4,-14,-13,
225,1,0.3599999999999999,creg4c,-10,-2411.521468286072,,90.0,-10,12,3,-11,4,-14,-10,
226,1,0.3599999999999999,creg2a,-12,-2461.91330073055,,90.4,-10,-12,3,-11,4,-14,-10,
227,1,0.3599999999999999,creg4b,8,-2322.654031966217,,90.8,-10,-12,3,-11,4,8,-10,
228,1,0.3599999999999999,creg3a,9,-2274.6751507400695,,91.2,-10,-12,9,-11,4,8,-10,
229,1,0.3599999999999999,creg4b,-4,-2486.7051601756834,,91.6,-10,-12,9,-11,4,-4,-10,
230,1,0.3599999999999999,creg4b,-6,-2461.5379357545994,,92.0,-10,-12,9,-11,4,-6,-10,
231,1,0.3599999999999999,creg4b,-15,-2404.364291378434,,92.4,-10,-12,9,-11,4,-15,-10,
232,1,0.3599999999999999,creg2a,-8,-2411.8823080985535,,92.8,-10,-8,9,-11,4,-15,-10,
233,1,0.3599999999999999,creg3c,15,-2362.933916511719,,93.2,-10,-8,9,15,4,-15,-10,
234,1,0.3599999999999999,creg4c,-13,-2361.2387276073046,,93.6,-10,-8,9,15,4,-15,-13,
235,1,0.3599999999999999,creg4b,3,-2210.1833852394716,,94.0,-10,-8,9,15,4,3,-13,
236,1,0.3599999999999999,creg3c,-14,-2265.626098925066,,94.4,-10,-8,9,-14,4,3,-13,
237,1,0.3599999999999999,creg4c,6,-1821.887493790419,,94.8,-10,-8,9,-14,4,3,6,
238,1,0.3599999999999999,creg1a,8,-1473.243678112257,,95.2,8,-8,9,-14,4,3,6,
239,1,0.3599999999999999,creg1a,8,-1464.243678112257,,95.6,8,-8,9,-14,4,3,6,
240,1,0.3599999999999999,creg2a,-14,-1467.2195609222406,,96.0,8,-14,9,-14,4,3,6,
241,1,0.3599999999999999,creg4b,-4,-1107.1072660655764,,96.4,8,-14,9,-14,4,-4,6,
242,1,0.3599999999999999,creg3a,5,-1105.5850992335954,,96.8,8,-14,5,-14,4,-4,6,
243,1,0.3599999999999999,creg4c,16,-1019.7512483654618,,97.2,8,-14,5,-14,4,-4,16,
244,1,0.3599999999999999,creg2a,-13,-1014.7549564146308,,97.6,8,-13,5,-14,4,-4,16,
245,1,0.3599999999999999,creg4c,1,-1110.5973574412242,,98.0,8,-13,5,-14,4,-4,1,
246,1,0.3599999999999999,creg2a,-10,-1104.6092034375224,,98.4,8,-10,5,-14,4,-4,1,
247,1,0.3599999999999999,creg4b,-15,-867.9837781931582,,98.8,8,-10,5,-14,4,-15,1,
248,1,0.3599999999999999,creg4c,13,-1079.8446426515923,,99.2,8,-10,5,-14,4,-15,13,
249,1,0.3599999999999999,creg3c,7,-1134.3626641502378,,99.6,8,-10,5,7,4,-15,13,
250,1,0.3599999999999999,creg4c,3,-927.7043379496213,,100.0,8,-10,5,7,4,-15,3,
251,1,0.3599999999999999,creg4c,15,-1150.1254037641538,,100.4,8,-10,5,7,4,-15,15,
252,1,0.3599999999999999,creg2a,11,-1194.7155166967461,,100.8,8,11,5,7,4,-15,15,
253,1,0.3599999999999999,creg4c,6,-967.6194694706184,,101.2,8,11,5,7,4,-15,6,
254,1,0.3599999999999999,creg4c,7,-973.2313258212304,,101.6,8,11,5,7,4,-15,7,
255,1,0.3599999999999999,creg4c,4,-964.4028313884957,,102.0,8,11,5,7,4,-15,4,
256,1,0.3599999999999999,creg4a,1,-844.0306988143301,,102.4,8,11,5,7,1,-15,4,
257,1,0.3599999999999999,creg4a,-4,-574.6975208261117,,102.8,8,11,5,7,-4,-15,4,
258,1,0.3599999999999999,creg1a,-2,-376.40653825534986,,103.2,-2,11,5,7,-4,-15,4,
