Index,Step,Point,Load_Mult,Reg Changed,Tap Changed,Reward,Regulator States,Time,creg1a,creg2a,creg3a,creg3c,creg4a,creg4b,creg4c,
46,47,1,0.3599999999999999,creg4b,-8,-2396.904085074228,,18.8,14,11,-11,4,-4,-8,11,
47,48,1,0.3599999999999999,creg4c,12,-2404.535883613272,,19.2,14,11,-11,4,-4,-8,12,
48,49,1,0.3599999999999999,creg4c,9,-2385.648488117547,,19.6,14,11,-11,4,-4,-8,9,
49,50,1,0.3599999999999999,creg1a,2,-468.54069820121225,,20.0,2,11,-11,4,-4,-8,9,
50,51,1,0.3599999999999999,creg3a,12,-474.121753850848,,20.4,2,11,12,4,-4,-8,9,
51,52,1,0.3599999999999999,creg4c,13,-465.0553075912645,,20.8,2,11,12,4,-4,-8,13,
52,53,1,0.3599999999999999,creg1a,0,-463.0553075912645,,21.2,2,11,12,4,-4,-8,13,
53,54,1,0.3599999999999999,creg4c,-11,-473.36779416954164,,21.6,2,11,12,4,-4,-8,-11,
54,55,1,0.3599999999999999,creg4c,-1,-106.8818330593986,,22.0,2,11,12,4,-4,-8,-1,
55,56,1,0.3599999999999999,creg3a,10,-102.87044715905023,,22.4,2,11,10,4,-4,-8,-1,
56,57,1,0.3599999999999999,creg3a,2,-65.84298787779625,,22.8,2,11,2,4,-4,-8,-1,
57,58,1,0.3599999999999999,creg1a,4,-62.91261661865926,,23.2,4,11,2,4,-4,-8,-1,
58,59,1,0.3599999999999999,creg4a,-16,-456.99565979107996,,23.6,4,11,2,4,-16,-8,-1,
59,60,1,0.3599999999999999,creg3c,-14,-509.98581640687513,,24.0,4,11,2,-14,-16,-8,-1,
60,61,1,0.3599999999999999,creg2a,11,-500.98581640687513,,24.4,4,11,2,-14,-16,-8,-1,
61,62,1,0.3599999999999999,creg3a,-16,-549.9210384685775,,24.8,4,11,-16,-14,-16,-8,-1,
62,63,1,0.3599999999999999,creg3a,10,-554.0182716502117,,25.2,4,11,10,-14,-16,-8,-1,
63,64,1,0.3599999999999999,creg1a,-6,-1014.9067648826245,,25.6,-6,11,10,-14,-16,-8,-1,
64,65,1,0.3599999999999999,creg4a,-6,-1015.9662191791145,,26.0,-6,11,10,-14,-6,-8,-1,
65,66,1,0.3599999999999999,creg1a,10,-1820.2275295247769,,26.4,10,11,10,-14,-6,-8,-1,
66,67,1,0.3599999999999999,creg1a,15,-2065.6275030569777,,26.8,15,11,10,-14,-6,-8,-1,
67,68,1,0.3599999999999999,creg4c,2,-2064.942140571701,,27.2,15,11,10,-14,-6,-8,2,
68,69,1,0.3599999999999999,creg4c,9,-2067.762297979808,,27.6,15,11,10,-14,-6,-8,9,
69,70,1,0.3599999999999999,creg2a,-5,-2072.1781174003686,,28.0,15,-5,10,-14,-6,-8,9,
70,71,1,0.3599999999999999,creg1a,-11,-2383.324458752086,,28.4,-11,-5,10,-14,-6,-8,9,
71,72,1,0.3599999999999999,creg1a,5,-480.6704149249568,,28.8,5,-5,10,-14,-6,-8,9,
72,73,1,0.3599999999999999,creg4c,-16,-483.49327645572066,,29.2,5,-5,10,-14,-6,-8,-16,
73,74,1,0.3599999999999999,creg4a,2,-475.4768441996563,,29.6,5,-5,10,-14,2,-8,-16,
74,75,1,0.3599999999999999,creg2a,-1,-473.493905735421,,30.0,5,-1,10,-14,2,-8,-16,
75,76,1,0.3599999999999999,creg1a,14,-2057.4535373298263,,30.4,14,-1,10,-14,2,-8,-16,
76,77,1,0.3599999999999999,creg4a,-16,-1670.4080463539758,,30.8,14,-1,10,-14,-16,-8,-16,
77,78,1,0.3599999999999999,creg1a,-13,-2740.5503006623276,,31.2,-13,-1,10,-14,-16,-8,-16,
78,79,1,0.3599999999999999,creg4c,6,-2419.7442605462243,,31.6,-13,-1,10,-14,-16,-8,6,
79,80,1,0.3599999999999999,creg1a,-2,-776.2909778273454,,32.0,-2,-1,10,-14,-16,-8,6,
80,81,1,0.3599999999999999,creg2a,2,-772.3026872110883,,32.4,-2,2,10,-14,-16,-8,6,
81,82,1,0.3599999999999999,creg2a,16,-817.8639973608002,,32.8,-2,16,10,-14,-16,-8,6,
82,83,1,0.3599999999999999,creg3a,13,-852.3733743617781,,33.2,-2,16,13,-14,-16,-8,6,
83,84,1,0.3599999999999999,creg4c,4,-851.7359648506241,,33.6,-2,16,13,-14,-16,-8,4,
84,85,1,0.3599999999999999,creg1a,7,-906.3100162154128,,34.0,7,16,13,-14,-16,-8,4,
85,86,1,0.3599999999999999,creg4b,6,-1220.032242886086,,34.4,7,16,13,-14,-16,6,4,
86,87,1,0.3599999999999999,creg4b,-11,-910.1383578184035,,34.8,7,16,13,-14,-16,-11,4,
87,88,1,0.3599999999999999,creg4b,10,-1224.0244700532417,,35.2,7,16,13,-14,-16,10,4,
88,89,1,0.3599999999999999,creg2a,-13,-1187.8807528193652,,35.6,7,-13,13,-14,-16,10,4,
89,90,1,0.3599999999999999,creg4a,11,-1189.1129400256664,,36.0,7,-13,13,-14,11,10,4,
90,91,1,0.3599999999999999,creg3a,3,-1180.5540707973723,,36.4,7,-13,3,-14,11,10,4,
91,92,1,0.3599999999999999,creg3c,-3,-1131.0552959544107,,36.8,7,-13,3,-3,11,10,4,
92,93,1,0.3599999999999999,creg4b,-11,-824.2691594014573,,37.2,7,-13,3,-3,11,-11,4,
93,94,1,0.3599999999999999,creg4b,-15,-1095.5676031989747,,37.6,7,-13,3,-3,11,-15,4,
94,95,1,0.3599999999999999,creg4c,11,-1107.8348677339156,,38.0,7,-13,3,-3,11,-15,11,
95,96,1,0.3599999999999999,creg4a,-14,-1094.7191210950803,,38.4,7,-13,3,-3,-14,-15,11,
96,97,1,0.3599999999999999,creg4b,-2,-779.4713649353213,,38.8,7,-13,3,-3,-14,-2,11,
97,98,1,0.3599999999999999,creg4a,-10,-405.2003185687495,,39.2,7,-13,3,-3,-10,-2,11,
98,99,1,0.3599999999999999,creg4a,7,-822.9852756972572,,39.6,7,-13,3,-3,7,-2,11,
99,100,1,0.3599999999999999,creg3c,11,-871.5138273471282,,40.0,7,-13,3,11,7,-2,11,
100,101,1,0.3599999999999999,creg2a,-7,-867.5371700272545,,40.4,7,-7,3,11,7,-2,11,
101,102,1,0.3599999999999999,creg4b,-13,-869.4374734533648,,40.8,7,-7,3,11,7,-13,11,
102,103,1,0.3599999999999999,creg3c,5,-866.9171481907489,,41.2,7,-7,3,5,7,-13,11,
103,104,1,0.3599999999999999,creg4a,4,-865.03238395611,,41.6,7,-7,3,5,4,-13,11,
104,105,1,0.3599999999999999,creg4a,3,-863.4090754424499,,42.0,7,-7,3,5,3,-13,11,
105,106,1,0.3599999999999999,creg3c,16,-868.9466040924335,,42.4,7,-7,3,16,3,-13,11,
106,107,1,0.3599999999999999,creg2a,13,-913.5356469056145,,42.8,7,13,3,16,3,-13,11,
107,108,1,0.3599999999999999,creg4a,7,-906.0453614135769,,43.2,7,13,3,16,7,-13,11,
108,109,1,0.3599999999999999,creg4b,0,-904.0453614135769,,43.6,7,13,3,16,7,-13,11,
109,110,1,0.3599999999999999,creg3a,-3,-867.0292770744524,,44.0,7,13,-3,16,7,-13,11,
110,111,1,0.3599999999999999,creg3c,-1,-822.482120968077,,44.4,7,13,-3,-1,7,-13,11,
111,112,1,0.3599999999999999,creg2a,-12,-786.3732022587567,,44.8,7,-12,-3,-1,7,-13,11,
112,113,1,0.3599999999999999,creg1a,5,-1084.5572712861763,,45.2,5,-12,-3,-1,7,-13,11,
113,114,1,0.3599999999999999,creg3c,-15,-1140.5455935204286,,45.6,5,-12,-3,-15,7,-13,11,
114,115,1,0.3599999999999999,creg3a,14,-1182.1146486864386,,46.0,5,-12,14,-15,7,-13,11,
115,116,1,0.3599999999999999,creg4c,6,-1175.5633234604356,,46.4,5,-12,14,-15,7,-13,6,
116,117,1,0.3599999999999999,creg1a,-3,-466.15439886489696,,46.8,-3,-12,14,-15,7,-13,6,
117,118,1,0.3599999999999999,creg4a,-16,-861.7185794842633,,47.2,-3,-12,14,-15,-16,-13,6,
118,119,1,0.3599999999999999,creg4a,-7,-855.6380949116813,,47.6,-3,-12,14,-15,-7,-13,6,
119,120,1,0.3599999999999999,creg4b,8,-553.1607939149615,,48.0,-3,-12,14,-15,-7,8,6,
120,121,1,0.3599999999999999,creg3a,-16,-557.5411499825187,,48.4,-3,-12,-16,-15,-7,8,6,
121,122,1,0.3599999999999999,creg4a,-15,-545.735502169844,,48.8,-3,-12,-16,-15,-15,8,6,
122,123,1,0.3599999999999999,creg3a,8,-513.8351756232935,,49.2,-3,-12,8,-15,-15,8,6,
123,124,1,0.3599999999999999,creg3c,9,-463.86991395333735,,49.6,-3,-12,8,9,-15,8,6,
124,125,1,0.3599999999999999,creg4c,-16,-821.5149320987802,,50.0,-3,-12,8,9,-15,8,-16,
125,126,1,0.3599999999999999,creg2a,-3,-775.0594707820666,,50.4,-3,-3,8,9,-15,8,-16,
126,127,1,0.3599999999999999,creg4b,-9,-1087.6739117326406,,50.8,-3,-3,8,9,-15,-9,-16,
127,128,1,0.3599999999999999,creg1a,-15,-2772.634970010762,,51.2,-15,-3,8,9,-15,-9,-16,
128,129,1,0.3599999999999999,creg3c,10,-2716.635946618851,,51.6,-15,-3,8,10,-15,-9,-16,
129,130,1,0.3599999999999999,creg4a,2,-2726.9395920043703,,52.0,-15,-3,8,10,2,-9,-16,
130,131,1,0.3599999999999999,creg2a,-9,-2721.4135038673026,,52.4,-15,-9,8,10,2,-9,-16,
131,132,1,0.3599999999999999,creg4b,-13,-2720.135213592388,,52.8,-15,-9,8,10,2,-13,-16,
132,133,1,0.3599999999999999,creg4b,0,-2718.135213592388,,53.2,-15,-9,8,10,2,-13,-16,
133,134,1,0.3599999999999999,creg1a,2,-829.3992422586206,,53.6,2,-9,8,10,2,-13,-16,
134,135,1,0.3599999999999999,creg4a,8,-1214.4060530158392,,54.0,2,-9,8,10,8,-13,-16,
135,136,1,0.3599999999999999,creg3a,2,-1174.389504269758,,54.4,2,-9,2,10,8,-13,-16,
136,137,1,0.3599999999999999,creg1a,-7,-1615.013724262494,,54.8,-7,-9,2,10,8,-13,-16,
137,138,1,0.3599999999999999,creg3c,8,-1611.5139301565114,,55.2,-7,-9,2,8,8,-13,-16,
138,139,1,0.3599999999999999,creg4b,12,-1265.0316421629466,,55.6,-7,-9,2,8,8,12,-16,
139,140,1,0.3599999999999999,creg3c,-6,-1289.50969763016,,56.0,-7,-9,2,-6,8,12,-16,
140,141,1,0.3599999999999999,creg4a,5,-1263.8385175893561,,56.4,-7,-9,2,-6,5,12,-16,
141,142,1,0.3599999999999999,creg3c,-11,-1264.8222763463045,,56.8,-7,-9,2,-11,5,12,-16,
142,143,1,0.3599999999999999,creg4b,-10,-1621.4939628529112,,57.2,-7,-9,2,-11,5,-10,-16,
143,144,1,0.3599999999999999,creg1a,-7,-1610.4939628529112,,57.6,-7,-9,2,-11,5,-10,-16,
144,145,1,0.3599999999999999,creg4c,16,-1448.5780080397521,,58.0,-7,-9,2,-11,5,-10,16,
145,146,1,0.3599999999999999,creg4b,3,-1140.0055652137573,,58.4,-7,-9,2,-11,5,3,16,
146,147,1,0.3599999999999999,creg3a,-12,-1180.4336183834178,,58.8,-7,-9,-12,-11,5,3,16,
147,148,1,0.3599999999999999,creg4a,8,-1165.0894205758798,,59.2,-7,-9,-12,-11,8,3,16,
148,149,1,0.3599999999999999,creg4c,6,-867.969393784554,,59.6,-7,-9,-12,-11,8,3,6,
149,150,1,0.3599999999999999,creg3a,14,-836.0745173065147,,60.0,-7,-9,14,-11,8,3,6,
150,151,1,0.3599999999999999,creg4a,12,-835.3246159279101,,60.4,-7,-9,14,-11,12,3,6,
151,152,1,0.3599999999999999,creg1a,-1,-546.8143313028388,,60.8,-1,-9,14,-11,12,3,6,
152,153,1,0.3599999999999999,creg3c,-10,-543.8179636428737,,61.2,-1,-9,14,-10,12,3,6,
153,154,1,0.3599999999999999,creg4c,-3,-547.9122107870961,,61.6,-1,-9,14,-10,12,3,-3,
154,155,1,0.3599999999999999,creg4a,-14,-554.2940548552771,,62.0,-1,-9,14,-10,-14,3,-3,
155,156,1,0.3599999999999999,creg1a,10,-1588.1589640567327,,62.4,10,-9,14,-10,-14,3,-3,
156,157,1,0.3599999999999999,creg2a,12,-1633.2688345846134,,62.8,10,12,14,-10,-14,3,-3,
157,158,1,0.3599999999999999,creg4b,3,-1622.7688345846134,,63.2,10,12,14,-10,-14,3,-3,
158,159,1,0.3599999999999999,creg4b,1,-1623.5363908921422,,63.6,10,12,14,-10,-14,1,-3,
159,160,1,0.3599999999999999,creg4b,-4,-1374.5252244338324,,64.0,10,12,14,-10,-14,-4,-3,
160,161,1,0.3599999999999999,creg3c,15,-1444.5712401549938,,64.4,10,12,14,15,-14,-4,-3,
161,162,1,0.3599999999999999,creg2a,7,-1434.5425224727917,,64.8,10,7,14,15,-14,-4,-3,
162,163,1,0.3599999999999999,creg4c,-12,-1426.0751605570795,,65.2,10,7,14,15,-14,-4,-12,
163,164,1,0.3599999999999999,creg3a,3,-1437.0086492260632,,65.6,10,7,3,15,-14,-4,-12,
164,165,1,0.3599999999999999,creg2a,-13,-1411.4126003232425,,66.0,10,-13,3,15,-14,-4,-12,
165,166,1,0.3599999999999999,creg4c,2,-1779.3203984842196,,66.4,10,-13,3,15,-14,-4,2,
166,167,1,0.3599999999999999,creg4a,3,-2301.9898574210365,,66.8,10,-13,3,15,3,-4,2,
167,168,1,0.3599999999999999,creg4a,-14,-1780.8203984842196,,67.2,10,-13,3,15,-14,-4,2,
168,169,1,0.3599999999999999,creg1a,13,-2344.3784656914986,,67.6,13,-13,3,15,-14,-4,2,
169,170,1,0.3599999999999999,creg3a,-11,-2309.8245143349186,,68.0,13,-13,-11,15,-14,-4,2,
170,171,1,0.3599999999999999,creg2a,7,-2352.920819613029,,68.4,13,7,-11,15,-14,-4,2,
171,172,1,0.3599999999999999,creg4a,5,-2744.124644468023,,68.8,13,7,-11,15,5,-4,2,
172,173,1,0.3599999999999999,creg1a,-4,-120.95679929883934,,69.2,-4,7,-11,15,5,-4,2,
173,174,1,0.3599999999999999,creg3c,-4,-121.94974617030076,,69.6,-4,7,-11,-4,5,-4,2,
174,175,1,0.3599999999999999,creg4b,-4,-112.44974617030076,,70.0,-4,7,-11,-4,5,-4,2,
175,176,1,0.3599999999999999,creg4a,-12,-519.499006055882,,70.4,-4,7,-11,-4,-12,-4,2,
176,177,1,0.3599999999999999,creg4c,-1,-502.3277159583496,,70.8,-4,7,-11,-4,-12,-4,-1,
177,178,1,0.3599999999999999,creg1a,4,-495.6157260044125,,71.2,4,7,-11,-4,-12,-4,-1,
178,179,1,0.3599999999999999,creg4b,2,-515.061947157453,,71.6,4,7,-11,-4,-12,2,-1,
179,180,1,0.3599999999999999,creg3a,-13,-513.0505691520353,,72.0,4,7,-13,-4,-12,2,-1,
180,181,1,0.3599999999999999,creg4a,-7,-124.90423513971413,,72.4,4,7,-13,-4,-7,2,-1,
181,182,1,0.3599999999999999,creg4b,2,-122.40423513971413,,72.8,4,7,-13,-4,-7,2,-1,
182,183,1,0.3599999999999999,creg3a,0,-122.40423513971413,,73.2,4,7,-13,-4,-7,2,-1,
183,184,1,0.3599999999999999,creg3a,-3,-87.4418788540286,,73.6,4,7,-3,-4,-7,2,-1,
184,185,1,0.3599999999999999,creg4a,8,-481.0017477424793,,74.0,4,7,-3,-4,8,2,-1,
185,186,1,0.3599999999999999,creg1a,2,-414.2552435434855,,74.4,2,7,-3,-4,8,2,-1,
186,187,1,0.3599999999999999,creg1a,12,-2690.084207119892,,74.8,12,7,-3,-4,8,2,-1,
187,188,1,0.3599999999999999,creg3a,-12,-2689.559640444255,,75.2,12,7,-12,-4,8,2,-1,
188,189,1,0.3599999999999999,creg4b,-14,-2381.7621482290733,,75.6,12,7,-12,-4,8,-14,-1,
189,190,1,0.3599999999999999,creg4c,14,-2382.990270882204,,76.0,12,7,-12,-4,8,-14,14,
190,191,1,0.3599999999999999,creg2a,10,-2377.005793276177,,76.4,12,10,-12,-4,8,-14,14,
191,192,1,0.3599999999999999,creg4c,16,-2376.781017918881,,76.8,12,10,-12,-4,8,-14,16,
192,193,1,0.3599999999999999,creg3c,3,-2429.3002970514276,,77.2,12,10,-12,3,8,-14,16,
193,194,1,0.3599999999999999,creg3c,-14,-2384.2821578432026,,77.6,12,10,-12,-14,8,-14,16,
194,195,1,0.3599999999999999,creg4a,-5,-1990.753112584895,,78.0,12,10,-12,-14,-5,-14,16,
195,196,1,0.3599999999999999,creg2a,1,-1988.7087507697674,,78.4,12,1,-12,-14,-5,-14,16,
196,197,1,0.3599999999999999,creg3a,-15,-1985.7014532315764,,78.8,12,1,-15,-14,-5,-14,16,
197,198,1,0.3599999999999999,creg4c,-12,-1635.4059767109236,,79.2,12,1,-15,-14,-5,-14,-12,
198,199,1,0.3599999999999999,creg4b,11,-1946.3964423211169,,79.6,12,1,-15,-14,-5,11,-12,
199,200,1,0.3599999999999999,creg3c,-14,-1933.8964423211169,,80.0,12,1,-15,-14,-5,11,-12,
200,201,1,0.3599999999999999,creg4c,-16,-1935.7443751209298,,80.4,12,1,-15,-14,-5,11,-16,
201,202,1,0.3599999999999999,creg4c,-8,-1938.0785923280503,,80.8,12,1,-15,-14,-5,11,-8,
202,203,1,0.3599999999999999,creg4b,15,-1936.6507240098224,,81.2,12,1,-15,-14,-5,15,-8,
203,204,1,0.3599999999999999,creg1a,-8,-2181.7839772396032,,81.6,-8,1,-15,-14,-5,15,-8,
204,205,1,0.3599999999999999,creg4a,1,-2165.517900835867,,82.0,-8,1,-15,-14,1,15,-8,
205,206,1,0.3599999999999999,creg4c,-11,-2223.8457847879063,,82.4,-8,1,-15,-14,1,15,-11,
206,207,1,0.3599999999999999,creg3c,6,-2172.396510076803,,82.8,-8,1,-15,6,1,15,-11,
207,208,1,0.3599999999999999,creg3c,9,-2163.896194605867,,83.2,-8,1,-15,9,1,15,-11,
208,209,1,0.3599999999999999,creg4a,-4,-2134.272594224946,,83.6,-8,1,-15,9,-4,15,-11,
209,210,1,0.3599999999999999,creg4a,12,-1811.102513186465,,84.0,-8,1,-15,9,12,15,-11,
210,211,1,0.3599999999999999,creg4c,5,-1331.9877174060175,,84.4,-8,1,-15,9,12,15,5,
211,212,1,0.3599999999999999,creg4b,-13,-1895.9981682480604,,84.8,-8,1,-15,9,12,-13,5,
212,213,1,0.3599999999999999,creg4b,13,-1306.8170332151556,,85.2,-8,1,-15,9,12,13,5,
213,214,1,0.3599999999999999,creg3c,-8,-1352.2833189584792,,85.6,-8,1,-15,-8,12,13,5,
214,215,1,0.3599999999999999,creg4a,14,-1344.9134004422165,,86.0,-8,1,-15,-8,14,13,5,
215,216,1,0.3599999999999999,creg3a,8,-1315.5227942563847,,86.4,-8,1,8,-8,14,13,5,
216,217,1,0.3599999999999999,creg4c,6,-1304.0651516724,,86.8,-8,1,8,-8,14,13,6,
217,218,1,0.3599999999999999,creg4b,7,-1356.612527760397,,87.2,-8,1,8,-8,14,7,6,
218,219,1,0.3599999999999999,creg3c,3,-1309.1473933388038,,87.6,-8,1,8,3,14,7,6,
219,220,1,0.3599999999999999,creg3c,6,-1305.14707011623,,88.0,-8,1,8,6,14,7,6,
220,221,1,0.3599999999999999,creg3c,-8,-1360.612527760397,,88.4,-8,1,8,-8,14,7,6,
221,222,1,0.3599999999999999,creg3a,1,-1407.0906176016947,,88.8,-8,1,1,-8,14,7,6,
222,223,1,0.3599999999999999,creg3a,-11,-1439.5258425222207,,89.2,-8,1,-11,-8,14,7,6,
223,224,1,0.3599999999999999,creg3c,13,-1394.0598738226568,,89.6,-8,1,-11,13,14,7,6,
224,225,1,0.3599999999999999,creg4c,13,-1377.4281510856083,,90.0,-8,1,-11,13,14,7,13,
225,226,1,0.3599999999999999,creg4c,9,-1385.7059738702176,,90.4,-8,1,-11,13,14,7,9,
226,227,1,0.3599999999999999,creg3c,1,-1439.7055984034664,,90.8,-8,1,-11,1,14,7,9,
227,228,1,0.3599999999999999,creg3a,-1,-1438.7587770577252,,91.2,-8,1,-1,1,14,7,9,
228,229,1,0.3599999999999999,creg3c,-12,-1430.2118943325193,,91.6,-8,1,-1,-12,14,7,9,
229,230,1,0.3599999999999999,creg1a,13,-2738.3596015335397,,92.0,13,1,-1,-12,14,7,9,
230,231,1,0.3599999999999999,creg3c,-9,-2729.3592543130903,,92.4,13,1,-1,-9,14,7,9,
231,232,1,0.3599999999999999,creg4a,-12,-2347.9681698740965,,92.8,13,1,-1,-9,-12,7,9,
232,233,1,0.3599999999999999,creg3a,-7,-2297.9471564810865,,93.2,13,1,-7,-9,-12,7,9,
233,234,1,0.3599999999999999,creg1a,13,-2294.9471564810865,,93.6,13,1,-7,-9,-12,7,9,
234,235,1,0.3599999999999999,creg2a,-15,-2262.874805703621,,94.0,13,-15,-7,-9,-12,7,9,
235,236,1,0.3599999999999999,creg4a,-10,-2255.9625125659,,94.4,13,-15,-7,-9,-10,7,9,
236,237,1,0.3599999999999999,creg2a,5,-2305.0565220354906,,94.8,13,5,-7,-9,-10,7,9,
237,238,1,0.3599999999999999,creg3a,7,-2342.1239397472173,,95.2,13,5,7,-9,-10,7,9,
238,239,1,0.3599999999999999,creg4a,12,-2738.602550675032,,95.6,13,5,7,-9,12,7,9,
239,240,1,0.3599999999999999,creg3c,-12,-2729.1028974177984,,96.0,13,5,7,-12,12,7,9,
240,241,1,0.3599999999999999,creg1a,1,-1140.6861637398708,,96.4,1,5,7,-12,12,7,9,
241,242,1,0.3599999999999999,creg2a,-2,-1138.1562916807989,,96.8,1,-2,7,-12,12,7,9,
242,243,1,0.3599999999999999,creg3c,3,-1092.170157637151,,97.2,1,-2,7,3,12,7,9,
243,244,1,0.3599999999999999,creg3c,6,-1086.1698457905372,,97.6,1,-2,7,6,12,7,9,
244,245,1,0.3599999999999999,creg3a,3,-1086.659001143109,,98.0,1,-2,3,6,12,7,9,
245,246,1,0.3599999999999999,creg3c,15,-1139.1803072137832,,98.4,1,-2,3,15,12,7,9,
246,247,1,0.3599999999999999,creg3c,4,-1090.159207999235,,98.8,1,-2,3,4,12,7,9,
247,248,1,0.3599999999999999,creg3a,-4,-1088.1402759318091,,99.2,1,-2,-4,4,12,7,9,
248,249,1,0.3599999999999999,creg3a,-2,-1085.6456790860193,,99.6,1,-2,-2,4,12,7,9,
249,250,1,0.3599999999999999,creg4b,-8,-781.1657732231455,,100.0,1,-2,-2,4,12,-8,9,
250,251,1,0.3599999999999999,creg1a,-10,-1977.7263978235387,,100.4,-10,-2,-2,4,12,-8,9,
